absence_id,employee_id,absence_type,plan_code,start_date,end_date,duration_days,applied_date,approved_by,approval_date,absence_status,reason,remarks,half_day_flag,attachment_provided,department,location
ABSD26I9SW6C,EMP00231,Sick Leave,SL-PLAN-02,2023-07-07,2023-07-07,1,2023-06-12,EMP00026,2023-06-17,Cancelled,Marriage,,N,Yes,Human Resources,Mumbai
ABSUIO87WEMF,EMP00276,Maternity Leave,UL-PLAN-07,2024-11-27,2024-11-30,4,2024-11-07,EMP00023,2024-11-12,Approved,Medical Appointment,,Y,Yes,Product,Toronto
ABSF5BRHQEQA,EMP00251,Unpaid Leave,PL-PLAN-05,2022-05-27,2022-06-07,12,2022-05-12,EMP00039,2022-05-16,Approved,Marriage,,Y,No,Marketing,London
ABSG7F8VN3RI,EMP00277,Sick Leave,AL-PLAN-01,,2022-06-18,11,2022-05-26,EMP00043,2022-05-29,Rejected,Medical,,N,Yes,Legal,Mumbai
ABSO9RG14CNL,EMP00453,Work From Home,CO-PLAN-06,2024-03-03,2024-03-05,3,2024-02-25,EMP00014,2024-02-26,Pending,Other,Pre-planned,Y,N/A,Operations,Toronto
ABS3SY394XTX,EMP00162,Annual Leave,PL-PLAN-05,2024-03-30,2024-04-07,9,2024-03-14,EMP00025,2024-03-18,Approved,Emergency,Pre-planned,N,Yes,Operations,Singapore
ABSV1ET1Z13H,EMP00424,Maternity Leave,PL-PLAN-05,2022-11-10,2022-11-22,13,2022-10-28,EMP00018,2022-10-30,Approved,Personal,Urgent,Y,N/A,Human Resources,London
ABSU0S05VEN8,EMP00483,Casual Leave,AL-PLAN-01,2024-06-09,2024-06-15,7,2024-05-13,EMP00013,2024-05-15,Approved,Personal,Pre-planned,Y,Yes,Human Resources,Singapore
ABS6EIREUSD1,,Compensatory Off,UL-PLAN-07,2023-05-16,2023-05-27,12,2023-04-25,EMP00035,2023-04-28,Rejected,Other,Pre-planned,N,Yes,Product,Toronto
ABS48XXGWZZW,EMP00657,Casual Leave,CO-PLAN-06,2023-05-22,2023-05-26,5,2023-05-18,EMP00013,2023-05-23,Approved,Medical Appointment,None,N,N/A,Engineering,Singapore
ABSVXXAGZ3V5,EMP00053,Bereavement Leave,AL-PLAN-01,2022-01-11,2022-01-11,1,2022-01-03,EMP00010,2022-01-06,Rejected,COVID-19,Urgent,N,Yes,Legal,London
ABS6PA24DNKR,EMP00040,Bereavement Leave,CO-PLAN-06,2024-10-08,2024-10-18,11,2024-09-24,EMP00016,2024-09-28,Withdrawn,Personal,Pre-planned,N,N/A,Operations,Bengaluru
ABSS5NI5T95T,EMP00373,Maternity Leave,SL-PLAN-02,2025-01-25,2025-02-01,8,2024-12-26,EMP00029,2024-12-27,Rejected,COVID-19,Urgent,N,N/A,Marketing,London
ABS3TMOX5UB5,EMP00430,UNKNOWN_TYPE_XYZ,UL-PLAN-07,2022-08-17,2022-08-14,12,2022-07-27,EMP00016,2022-07-29,Withdrawn,Medical Appointment,None,N,No,Product,Dubai
ABSRXNXNWYIN,EMP00696,Unpaid Leave,CL-PLAN-03,2025-03-02,2025-03-06,5,2025-02-18,EMP00008,2025-02-22,Withdrawn,Travel,Recurring,Y,N/A,Sales,Dubai
ABS2EMKW08Q6,EMP00490,Maternity Leave,SL-PLAN-02,2022-11-21,2022-11-25,5,2022-10-28,EMP00007,2022-11-02,Rejected,Family,None,Y,N/A,Operations,New York
ABSATNY9TC2R,EMP00286,Sick Leave,CO-PLAN-06,2022-07-20,2022-07-21,2,2022-06-27,EMP00026,2022-06-28,Pending,Personal,,N,No,Legal,London
ABSYKJADZVEP,EMP00339,Unpaid Leave,PL-PLAN-05,2023-11-18,2023-11-25,8,2023-11-04,EMP00050,2023-11-06,Rejected,Medical,Recurring,Y,No,Engineering,London
ABSJBY4MO25L,EMP00447,Sick Leave,CL-PLAN-03,2024-06-28,2024-07-05,0,2024-06-14,EMP00014,2024-06-15,Rejected,Travel,,N,No,Marketing,Mumbai
ABSYRTZDWBK0,EMP00791,Casual Leave,PL-PLAN-05,2022-04-26,2022-05-08,13,2022-04-24,EMP00006,2022-04-25,Pending,Medical Appointment,Recurring,N,Yes,Sales,Bengaluru
ABSI6HADDPED,EMP00075,Annual Leave,AL-PLAN-01,2023-08-07,2023-08-19,13,2023-07-22,EMP00045,2023-07-26,Withdrawn,Vacation,,N,N/A,Legal,Dubai
ABSM5QFV1K6K,EMP00322,Sick Leave,BL-PLAN-08,2024-04-26,2024-05-08,13,2024-04-16,EMP00041,2024-04-20,Rejected,Medical Appointment,Pre-planned,N,N/A,Human Resources,Singapore
ABSF4KX2FPKR,EMP00694,Work From Home,CL-PLAN-03,2025-01-26,2025-01-30,5,2025-01-19,EMP00045,2025-01-20,Rejected,Travel,Recurring,N,No,Marketing,Bengaluru
ABSE2NOPRI1O,EMP00154,Sick Leave,CL-PLAN-03,,2024-05-17,-1,2024-04-27,EMP00032,2024-04-29,Rejected,Medical,Pre-planned,N,N/A,Human Resources,Mumbai
ABSI3MUL4PVB,EMP00044,Unpaid Leave,SL-PLAN-02,2023-08-27,2023-09-02,7,2023-08-21,EMP00028,2023-08-23,Pending,Personal,,N,Yes,Legal,New York
ABS1W0X10N77,EMP00189,Compensatory Off,CL-PLAN-03,2023-09-07,2023-09-10,4,2023-08-21,EMP00021,2023-08-26,Rejected,Personal,Recurring,N,Yes,Product,New York
ABSPEFZ1DCJ6,EMP00121,Annual Leave,AL-PLAN-01,2023-09-30,2023-10-04,5,2023-09-16,EMP00043,2023-09-18,Rejected,Medical Appointment,,Y,Yes,Sales,London
ABSUIHQMPQS4,EMP00537,Casual Leave,AL-PLAN-01,2022-09-05,2022-09-15,11,2022-08-21,EMP00035,2022-08-26,Rejected,Medical Appointment,,Y,No,Human Resources,Dubai
ABSZO68XGCJJ,EMP00346,Maternity Leave,PL-PLAN-05,2024-09-19,2024-09-19,8,2024-09-13,EMP00011,2024-09-18,Pending,Travel,Recurring,N,N/A,Engineering,New York
ABSFD16XP5KE,EMP00282,Sick Leave,SL-PLAN-02,2024-09-22,2024-09-29,8,2024-09-02,EMP00042,2024-09-05,Cancelled,Travel,Pre-planned,Y,Yes,Operations,Dubai
ABSJO3WPNAZV,EMP00761,Work From Home,BL-PLAN-08,2023-05-02,2023-05-05,4,2023-04-05,EMP00047,2023-04-10,Pending,Medical Appointment,Pre-planned,N,Yes,Sales,Dubai
ABSX67BJCSWC,EMP00310,Work From Home,ML-PLAN-04,2025-02-27,2025-03-05,7,2025-02-07,EMP00023,2025-02-09,Withdrawn,Travel,None,N,No,Operations,Singapore
ABSRQ134EWCP,EMP00268,Sick Leave,ML-PLAN-04,2023-10-27,2023-10-31,5,2023-10-10,EMP00017,2023-10-13,Approved,Child Care,,N,No,Human Resources,Sydney
ABS3L5QIWTP0,,Work From Home,ML-PLAN-04,2022-12-15,2022-12-12,6,2022-12-25,EMP00012,2022-12-16,Pending,Personal,,N,Yes,Finance,Bengaluru
ABSG3ZO56EKT,EMP00401,Casual Leave,ML-PLAN-04,2022-07-04,2022-07-16,13,2022-06-08,EMP00021,2022-06-09,Withdrawn,Child Care,Pre-planned,Y,Yes,Human Resources,Bengaluru
ABS338XJVW5O,EMP00717,Unpaid Leave,UL-PLAN-07,2024-11-22,2024-11-22,1,2024-11-06,EMP00033,2024-11-10,Rejected,Family,Urgent,N,N/A,Finance,Singapore
ABS9O6W8HEZM,EMP00598,Work From Home,PL-PLAN-05,2022-11-08,2022-11-18,11,2022-10-14,EMP00015,2022-10-15,Cancelled,Vacation,Pre-planned,N,N/A,Engineering,Singapore
ABSQZM1GTHMT,EMP00146,Maternity Leave,BL-PLAN-08,2023-08-28,2023-09-10,14,2023-08-02,EMP00023,2023-08-07,Cancelled,Emergency,None,N,Yes,Marketing,London
ABS6T9T4ZHBG,EMP00181,Sick Leave,CO-PLAN-06,2022-12-07,2022-12-13,7,2022-11-21,EMP00017,2022-11-23,Approved,Medical,Recurring,Y,No,Engineering,Toronto
ABSYUI1ZTN6R,EMP00330,Compensatory Off,CL-PLAN-03,2023-06-01,2023-06-14,14,2023-05-28,EMP00007,2023-06-02,Cancelled,Medical Appointment,None,N,Yes,Marketing,London
ABSO46F7BS9T,EMP00795,Compensatory Off,CL-PLAN-03,2024-05-05,2024-05-10,6,2024-04-06,EMP00015,2024-04-07,Withdrawn,Personal,Urgent,N,No,Human Resources,London
ABS9DYMMJ88K,EMP00138,Casual Leave,ML-PLAN-04,2023-11-14,2023-11-15,2,2023-11-07,EMP00038,2023-11-11,Pending,Travel,None,N,N/A,Legal,Singapore
ABS42Z6HW2G3,EMP00726,Unpaid Leave,CO-PLAN-06,2022-08-30,2022-09-09,11,2022-08-12,EMP00004,2022-08-13,Pending,Emergency,,Y,Yes,Human Resources,Singapore
ABSA8GCCW68I,EMP00365,UNKNOWN_TYPE_XYZ,ML-PLAN-04,,2022-07-04,19,2022-06-26,EMP00021,2022-06-30,UNKNOWN,Emergency,Recurring,Y,No,Sales,London
ABS0TO68PWIY,EMP00185,Bereavement Leave,AL-PLAN-01,2023-05-17,2023-05-26,10,2023-04-28,EMP00033,2023-04-29,Rejected,Personal,Recurring,N,Yes,Product,Bengaluru
ABSVH3BQIEQU,EMP00376,Work From Home,BL-PLAN-08,2023-10-30,2023-11-01,3,2023-10-03,EMP00017,2023-10-06,Rejected,Marriage,,N,Yes,Product,New York
ABSU6TR8RP98,EMP00471,Sick Leave,PL-PLAN-05,2022-07-16,2022-07-16,1,2022-06-18,EMP00028,2022-06-20,Rejected,Child Care,,N,Yes,Sales,Singapore
ABSWDB6OAR33,EMP00799,Maternity Leave,BL-PLAN-08,2022-04-26,2022-04-30,5,2022-04-04,EMP00046,2022-04-05,Rejected,Emergency,,N,Yes,Product,Singapore
ABSJ5U71YJ5O,EMP00154,Annual Leave,AL-PLAN-01,2024-09-24,2024-09-25,2,2024-08-27,EMP00034,2024-08-31,Withdrawn,Travel,Pre-planned,Y,No,Marketing,Bengaluru
ABSMQOYG8U58,EMP00582,Annual Leave,AL-PLAN-01,2023-07-31,2023-08-06,7,2023-07-12,EMP00010,2023-07-14,Approved,Medical,Recurring,N,Yes,Sales,London
ABSACXQCVXPH,EMP00315,Unpaid Leave,SL-PLAN-02,2024-08-07,2024-08-10,4,2024-08-03,EMP00003,2024-08-07,Pending,Medical,,Y,Yes,Finance,London
ABS80RHNCSEJ,EMP00703,Bereavement Leave,UL-PLAN-07,2024-12-08,2024-12-17,10,2024-11-30,EMP00032,2024-12-05,Pending,Emergency,None,N,No,Operations,Toronto
ABSV3DLIDWZD,EMP00231,Compensatory Off,UL-PLAN-07,2022-09-22,2022-09-24,3,2022-09-14,EMP00015,2022-09-16,Cancelled,Emergency,Pre-planned,N,Yes,Legal,Singapore
ABS8VCTDMVHP,EMP00077,Compensatory Off,BL-PLAN-08,2024-07-13,2024-07-10,0,2024-06-26,EMP00050,2024-06-27,Pending,Medical Appointment,None,N,Yes,Finance,Toronto
ABS4C5372DE9,EMP00292,Unpaid Leave,AL-PLAN-01,2023-08-30,2023-09-04,6,2023-08-13,EMP00001,2023-08-16,Pending,Other,Urgent,Y,Yes,Engineering,London
ABSLXC83H0TZ,EMP00647,Compensatory Off,ML-PLAN-04,2024-04-25,2024-05-04,10,2024-04-07,EMP00023,2024-04-09,Pending,COVID-19,Recurring,N,N/A,Product,Sydney
ABSJQ5U8WGXA,EMP00130,Work From Home,AL-PLAN-01,2023-10-23,2023-10-26,4,2023-09-28,EMP00013,2023-09-30,Withdrawn,Personal,Recurring,N,Yes,Product,Dubai
ABSZSWO73H5S,EMP00349,Work From Home,BL-PLAN-08,2022-07-19,2022-07-20,2,2022-06-21,EMP00024,2022-06-24,Rejected,COVID-19,,N,N/A,Engineering,Mumbai
ABS4DOSIC4H8,,Compensatory Off,PL-PLAN-05,2024-10-13,2024-10-21,17,2024-09-15,EMP00007,2024-09-17,Approved,Child Care,Pre-planned,N,Yes,Engineering,Bengaluru
ABSXY0CTCTQZ,EMP00420,Work From Home,BL-PLAN-08,2024-07-21,2024-07-24,4,2024-07-01,EMP00038,2024-07-05,Rejected,Emergency,Pre-planned,N,Yes,Operations,Mumbai
ABSXFVPDX7EO,EMP00042,Sick Leave,PL-PLAN-05,2025-03-03,2025-03-03,1,2025-02-14,EMP00025,2025-02-19,Withdrawn,Travel,,N,Yes,Human Resources,New York
ABSHASM8GWF7,EMP00288,Unpaid Leave,SL-PLAN-02,2024-04-28,2024-05-04,7,2024-04-09,EMP00041,2024-04-10,Pending,Child Care,None,N,N/A,Sales,Mumbai
ABSRXRL1C15X,EMP00275,Sick Leave,CL-PLAN-03,2023-03-16,2023-03-22,7,2023-02-20,EMP00047,2023-02-22,Pending,Child Care,Recurring,N,N/A,Legal,New York
ABS9FQXTA0M1,EMP00792,Compensatory Off,CL-PLAN-03,,2023-02-12,-1,2023-01-18,EMP00017,2023-01-20,Withdrawn,Family,None,N,N/A,Legal,Toronto
ABSGYCSNECJM,EMP00299,Work From Home,UL-PLAN-07,2022-11-30,2022-12-06,7,2022-11-25,EMP00036,2022-11-28,Rejected,Personal,Recurring,N,Yes,Product,Dubai
ABSPMPLTYFGQ,EMP00620,Bereavement Leave,AL-PLAN-01,2024-12-07,2024-12-11,5,2024-11-23,EMP00017,2024-11-27,Withdrawn,COVID-19,,N,Yes,Engineering,Mumbai
ABSVHXJ3ZUYJ,EMP00182,Sick Leave,ML-PLAN-04,2023-08-19,2023-08-30,12,2023-08-12,EMP00005,2023-08-17,Approved,Child Care,,N,Yes,Marketing,Singapore
ABSZE8CWV8C3,EMP00032,Sick Leave,SL-PLAN-02,2023-06-06,2023-06-16,11,2023-06-02,EMP00003,2023-06-06,Rejected,Vacation,None,N,No,Operations,Bengaluru
ABSEUH92U2UV,EMP00261,Maternity Leave,ML-PLAN-04,2022-04-25,2022-05-02,8,2022-03-29,EMP00005,2022-03-31,Pending,Family,,N,Yes,Finance,Toronto
ABSNWK59FX2F,EMP00405,Work From Home,ML-PLAN-04,2022-05-03,2022-05-15,13,2022-04-15,EMP00020,2022-04-17,Approved,Vacation,,N,Yes,Marketing,Sydney
ABSZYX9ADJSP,EMP00610,Compensatory Off,CO-PLAN-06,2025-03-07,2025-03-11,5,2025-02-15,EMP00024,2025-02-18,Cancelled,Vacation,Recurring,N,Yes,Sales,New York
ABSRK9LHLU02,EMP00733,Sick Leave,UL-PLAN-07,2023-07-13,2023-07-26,14,2023-06-21,EMP00008,2023-06-26,Withdrawn,Emergency,,N,Yes,Engineering,Bengaluru
ABS8TCV1T44H,EMP00069,Annual Leave,CL-PLAN-03,2023-10-03,2023-10-09,7,2023-09-03,EMP00023,2023-09-04,Pending,Child Care,Urgent,Y,Yes,Legal,Singapore
ABSLRFXC1IZ9,EMP00372,UNKNOWN_TYPE_XYZ,CL-PLAN-03,2024-06-30,2024-06-27,6,2024-06-17,EMP00005,2024-06-22,Withdrawn,Emergency,,Y,No,Engineering,Bengaluru
ABSGAYH4DGBZ,EMP00792,Sick Leave,UL-PLAN-07,2023-12-26,2024-01-06,12,2023-12-13,EMP00012,2023-12-18,Approved,Marriage,,N,Yes,Sales,Toronto
ABS6UK3OEL7L,EMP00450,Maternity Leave,PL-PLAN-05,2025-02-07,2025-02-13,7,2025-02-05,EMP00008,2025-02-09,Pending,Personal,,Y,N/A,Sales,Mumbai
ABSJFIDZY24R,EMP00300,Bereavement Leave,UL-PLAN-07,2024-03-29,2024-04-08,11,2024-03-06,EMP00007,2024-03-07,Cancelled,Child Care,Urgent,N,Yes,Human Resources,Mumbai
ABSVZBN9CEIT,EMP00772,Bereavement Leave,ML-PLAN-04,2022-11-19,2022-11-22,4,2022-11-06,EMP00033,2022-11-10,Cancelled,Travel,,N,Yes,Human Resources,Sydney
ABSNIINV6CK2,EMP00393,Bereavement Leave,BL-PLAN-08,2023-10-09,2023-10-20,12,2023-09-21,EMP00035,2023-09-26,Rejected,Emergency,Urgent,N,Yes,Operations,Singapore
ABSFY9SUK62W,EMP00256,Bereavement Leave,BL-PLAN-08,2023-01-17,2023-01-21,5,2023-01-16,EMP00003,2023-01-17,Approved,Travel,Urgent,Y,Yes,Legal,Dubai
ABSLGIO61FRF,EMP00089,Work From Home,UL-PLAN-07,2023-03-21,2023-03-31,11,2023-03-15,EMP00001,2023-03-17,Pending,Family,Urgent,Y,N/A,Product,Mumbai
ABSJ3K57BHCL,EMP00059,Sick Leave,PL-PLAN-05,2022-12-07,2022-12-17,11,2022-12-02,EMP00023,2022-12-05,Pending,Travel,,N,N/A,Human Resources,London
ABS9RH3AEYBA,EMP00676,Maternity Leave,UL-PLAN-07,2023-03-12,2023-03-19,8,2023-02-10,EMP00041,2023-02-15,Cancelled,Medical Appointment,,N,N/A,Sales,Sydney
ABSQ7PPWOAEC,,Maternity Leave,CL-PLAN-03,,2023-10-07,2,2023-10-20,EMP00039,2023-10-01,Rejected,Other,,N,Yes,Sales,Dubai
ABSU9VRWH1W6,EMP00195,Sick Leave,UL-PLAN-07,2022-07-08,2022-07-10,3,2022-06-12,EMP00036,2022-06-15,Withdrawn,Vacation,Urgent,N,Yes,Marketing,Bengaluru
ABSEGYQCZNTM,EMP00403,Unpaid Leave,ML-PLAN-04,2022-06-18,2022-06-27,10,2022-05-20,EMP00002,2022-05-21,Approved,Medical,,N,Yes,Product,Singapore
ABS40B7BMYFI,EMP00525,Sick Leave,AL-PLAN-01,2024-09-30,2024-10-12,13,2024-09-05,EMP00047,2024-09-09,Rejected,Medical Appointment,Pre-planned,Y,Yes,Product,New York
ABSMQ0ZZ4J1I,EMP00687,Sick Leave,CL-PLAN-03,2022-04-24,2022-04-29,6,2022-04-20,EMP00012,2022-04-22,Approved,Emergency,Pre-planned,Y,Yes,Engineering,Mumbai
ABSWFO3M3LAI,EMP00230,Sick Leave,UL-PLAN-07,2023-07-10,2023-07-20,0,2023-06-16,EMP00028,2023-06-18,Rejected,Travel,,N,No,Sales,Dubai
ABS2KJ7YHUQM,EMP00270,Unpaid Leave,BL-PLAN-08,2023-07-11,2023-07-13,3,2023-07-08,EMP00011,2023-07-12,Cancelled,Emergency,None,N,Yes,Legal,Toronto
ABSADYD5O6QK,EMP00109,Annual Leave,AL-PLAN-01,2024-04-01,2024-04-08,8,2024-03-31,EMP00041,2024-04-04,Cancelled,COVID-19,Recurring,N,N/A,Product,New York
ABSJ4LKPLW41,EMP00131,Casual Leave,SL-PLAN-02,2024-08-11,2024-08-15,5,2024-07-31,EMP00043,2024-08-04,Cancelled,COVID-19,,N,Yes,Sales,Dubai
ABS8L70CS3HF,EMP00735,Bereavement Leave,CO-PLAN-06,2023-12-07,2023-12-07,1,2023-11-30,EMP00050,2023-12-03,Approved,Travel,,N,No,Marketing,London
ABSQC74EO3LK,EMP00447,Annual Leave,ML-PLAN-04,2023-08-06,2023-08-03,13,2023-08-01,EMP00017,2023-08-04,Rejected,Personal,Recurring,Y,No,Product,New York
ABSOQPLTVYIJ,EMP00390,Work From Home,CO-PLAN-06,2024-05-21,2024-05-29,9,2024-05-05,EMP00028,2024-05-06,Rejected,Family,Urgent,N,Yes,Product,London
ABSQ2QFFGOML,EMP00110,Maternity Leave,CL-PLAN-03,2023-06-02,2023-06-06,5,2023-05-19,EMP00007,2023-05-20,Rejected,Medical,,N,Yes,Human Resources,Bengaluru
ABS9MFLJ8JNR,EMP00701,Bereavement Leave,SL-PLAN-02,2023-02-27,2023-03-11,13,2023-02-17,EMP00030,2023-02-20,Cancelled,Child Care,None,N,Yes,Legal,New York
ABS0YYFQGVQD,EMP00439,Unpaid Leave,CL-PLAN-03,2022-04-26,2022-05-08,13,2022-04-01,EMP00050,2022-04-02,Withdrawn,Child Care,None,N,N/A,Engineering,London
ABSGXEVCE9NX,EMP00319,Bereavement Leave,SL-PLAN-02,2022-08-18,2022-08-19,2,2022-08-07,EMP00040,2022-08-08,Rejected,Vacation,None,N,N/A,Operations,Dubai
ABS9V4EEZ3ZX,EMP00119,Bereavement Leave,PL-PLAN-05,2024-10-09,2024-10-11,3,2024-09-14,EMP00020,2024-09-19,Rejected,COVID-19,None,N,Yes,Finance,Toronto
ABSUS33LU5PA,EMP00098,Annual Leave,PL-PLAN-05,2023-11-12,2023-11-12,1,2023-10-27,EMP00011,2023-10-31,Approved,Travel,Recurring,Y,Yes,Marketing,Dubai
ABSDOMNXH9O6,EMP00294,Maternity Leave,AL-PLAN-01,2024-03-05,2024-03-15,11,2024-02-17,EMP00050,2024-02-18,Cancelled,Family,Urgent,N,Yes,Finance,Mumbai
ABSWX3NI54ND,EMP00662,Sick Leave,CO-PLAN-06,2024-09-12,2024-09-19,8,2024-08-23,EMP00048,2024-08-25,Pending,Other,Pre-planned,N,Yes,Engineering,Dubai
ABSDH7Z93CWO,EMP00275,UNKNOWN_TYPE_XYZ,ML-PLAN-04,,2023-03-16,-1,2023-02-23,EMP00024,2023-02-25,UNKNOWN,Travel,,N,Yes,Sales,Toronto
ABSWN3IO3LD8,EMP00025,Unpaid Leave,ML-PLAN-04,2023-01-26,2023-01-30,5,2023-01-20,EMP00024,2023-01-23,Rejected,Medical,Urgent,Y,N/A,Finance,Bengaluru
ABSYJD07F9T3,EMP00668,Work From Home,CL-PLAN-03,2024-05-20,2024-05-27,8,2024-05-13,EMP00019,2024-05-14,Pending,Marriage,,Y,Yes,Legal,Sydney
ABSO1S8ROI5T,EMP00077,Maternity Leave,SL-PLAN-02,2023-03-08,2023-03-20,13,2023-02-14,EMP00035,2023-02-17,Cancelled,COVID-19,Pre-planned,Y,No,Operations,Dubai
ABS1D4CAP4A9,EMP00365,Work From Home,BL-PLAN-08,2024-08-25,2024-09-06,13,2024-08-03,EMP00017,2024-08-08,Approved,Vacation,,Y,No,Human Resources,Sydney
ABSBN7ADSNHM,,Casual Leave,CO-PLAN-06,2024-10-03,2024-10-04,2,2024-09-07,EMP00027,2024-09-11,Rejected,Family,,Y,No,Human Resources,Sydney
ABSTPU8SMXYT,EMP00612,Casual Leave,PL-PLAN-05,2024-02-01,2024-02-11,11,2024-01-23,EMP00005,2024-01-28,Approved,Other,,Y,Yes,Legal,London
ABSG24PGJQXR,EMP00044,Compensatory Off,CL-PLAN-03,2022-07-07,2022-07-17,11,2022-06-10,EMP00041,2022-06-12,Approved,COVID-19,Urgent,N,No,Human Resources,Bengaluru
ABSXO8IMAL6V,EMP00344,Sick Leave,ML-PLAN-04,2023-08-13,2023-08-14,2,2023-07-21,EMP00017,2023-07-24,Rejected,Medical,,Y,Yes,Sales,Bengaluru
ABSY3IKPMLIC,EMP00395,Unpaid Leave,ML-PLAN-04,2022-10-30,2022-11-10,12,2022-10-10,EMP00015,2022-10-11,Withdrawn,Medical Appointment,,N,Yes,Operations,Singapore
ABSNDQOU958J,EMP00016,Unpaid Leave,AL-PLAN-01,2023-07-24,2023-07-21,2,2023-07-05,EMP00003,2023-07-06,Withdrawn,Vacation,,Y,Yes,Human Resources,Singapore
ABSJ81Y2FAS4,EMP00034,Sick Leave,CL-PLAN-03,2024-05-07,2024-05-07,1,2024-04-15,EMP00027,2024-04-20,Cancelled,Child Care,,N,No,Engineering,Toronto
ABS4DNJND1WW,EMP00608,Compensatory Off,SL-PLAN-02,2022-09-24,2022-09-29,6,2022-08-30,EMP00030,2022-09-03,Approved,COVID-19,,Y,N/A,Human Resources,New York
ABSSRVDQFSSO,EMP00107,Unpaid Leave,ML-PLAN-04,2024-04-05,2024-04-13,9,2024-03-26,EMP00036,2024-03-28,Rejected,Personal,,N,Yes,Engineering,Singapore
ABSM3UCTXN8S,EMP00205,Sick Leave,SL-PLAN-02,2024-03-24,2024-04-06,14,2024-03-15,EMP00036,2024-03-17,Rejected,Family,,N,Yes,Operations,Sydney
ABSMRADRL6HW,EMP00530,Unpaid Leave,UL-PLAN-07,2023-01-01,2023-01-10,18,2022-12-28,EMP00020,2022-12-30,Rejected,Emergency,,N,N/A,Legal,Toronto
ABS6OHGB1JZS,EMP00365,Work From Home,CL-PLAN-03,2023-09-14,2023-09-18,5,2023-09-09,EMP00026,2023-09-10,Approved,Medical,,Y,Yes,Operations,Dubai
